,time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
0,1,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
1,4,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
2,5,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
3,6,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
4,7,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
5,8,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
6,9,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
7,10,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
8,11,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
9,12,0,1e-05,0,1e-05,-6e-05,-4e-05,-2e-05,0,1
10,13,-4e-05,-3e-05,-6e-05,-4e-05,-2e-05,1e-05,-1e-05,-3e-05,1
11,14,-4e-05,-3e-05,-6e-05,-4e-05,-2e-05,1e-05,-1e-05,-3e-05,1
12,15,-4e-05,-3e-05,-6e-05,-4e-05,-2e-05,1e-05,-1e-05,-3e-05,1
13,16,-4e-05,-3e-05,-6e-05,-4e-05,-2e-05,1e-05,-1e-05,-3e-05,1
14,17,-4e-05,-3e-05,-6e-05,-4e-05,-2e-05,1e-05,-1e-05,-3e-05,1
15,18,0,2e-05,1e-05,1e-05,-1e-05,-2e-05,0,-1e-05,1
16,19,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
17,20,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
18,21,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
19,22,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
20,23,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
